Human;Ryeqo;Leiomyoma;relugolix, estradiol, norethisterone acetate;Relugolix, norethisterone acetate, estradiol hemihydrate;EMEA/H/C/005267;no;Authorised;H01CC54;yes;no;no;no;no;no;no;16-07-2021;;Gedeon Richter Plc.;Pituitary and hypothalamic hormones and analogues;;16-07-2021;30-10-2023;6;Ryeqo is indicated in adult women of reproductive age for:- treatment of moderate to severe symptoms of uterine fibroids,- symptomatic treatment of endometriosis in women with a history of previous medical or surgical treatment for their endometriosis.;;;19-05-2021;4-12-2023;https://www.ema.europa.eu/en/medicines/human/EPAR/ryeqo
Human;Yesafili;"Macular Edema;  Retinal Vein Occlusion;  Diabetic Retinopathy;  Myopia, Degenerative;  Diabetes Complications";aflibercept;aflibercept;EMEA/H/C/006022;no;Authorised;S01LA05;yes;no;yes;no;no;no;no;15-09-2023;;Viatris Limited;Ophthalmologicals;;20-07-2023;29-11-2023;1;Yesafili is indicated for adults for the treatment ofneovascular (wet) age-related macular degeneration (AMD) (see section 5.1),visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO) (see section 5.1),visual impairment due to diabetic macular oedema (DME) (see section 5.1),visual impairment due to myopic choroidal neovascularisation (myopic CNV) (see section 5.1).;;;17-07-2023;4-12-2023;https://www.ema.europa.eu/en/medicines/human/EPAR/yesafili
Human;Leflunomide medac;Arthritis, Rheumatoid;leflunomide;leflunomide;EMEA/H/C/001227;no;Authorised;L04AA13;no;yes;no;no;no;no;no;27-07-2010;;medac Gesellschaft für klinische Spezialpräparate mbH;Selective immunosuppressants;;;31-10-2023;19;Leflunomide is indicated for the treatment of adult patients with:active rheumatoid arthritis as a 'disease-modifying antirheumatic drug' (DMARD).Recent or concurrent treatment with hepatotoxic or haematotoxic DMARDs (e.g. methotrexate) may result in an increased risk of serious adverse reactions, therefore, the initiation of leflunomide treatment has to be carefully considered regarding these benefit / risk aspects.Moreover, switching from leflunomide to another DMARD without following the washout procedure may also increase the risk of serious adverse reactions even for a long time after the switching.;;;30-01-2018;4-12-2023;https://www.ema.europa.eu/en/medicines/human/EPAR/leflunomide-medac
Human;Filgrastim Hexal;"Neutropenia;  Hematopoietic Stem Cell Transplantation;  Cancer";filgrastim;filgrastim;EMEA/H/C/000918;no;Authorised;L03AA02;no;no;yes;no;no;no;no;6-02-2009;;Hexal AG;Immunostimulants, ;;;30-11-2023;24;Reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with established cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes) and reduction in the duration of neutropenia in patients undergoing myeloablative therapy followed by bone-marrow transplantation considered to be at increased risk of prolonged severe neutropenia.The safety and efficacy of filgrastim are similar in adults and children receiving cytotoxic chemotherapy.Mobilisation of peripheral blood progenitor cells (PBPCs).In children and adults with severe congenital, cyclic, or idiopathic neutropenia with an absolute neutrophil count (ANC) of of ≤ 0.5 x 109/l, and a history of severe or recurrent infections, long-term administration of filgrastim is indicated to increase neutrophil counts and to reduce the incidence and duration of infection-related events.Treatment of persistent neutropenia (ANC ≤ 0.5 x 109/l), and a history of severe or recurrent infections, long-term administration of filgrastim is indicated to increase neutrophil counts and to reduce the incidence and duration of infection-related events.in patients with advanced HIV infection, in order to reduce the risk of bacterial infections when other therapeutic options are inappropriate.;;;24-05-2018;4-12-2023;https://www.ema.europa.eu/en/medicines/human/EPAR/filgrastim-hexal
Human;Opzelura;Vitiligo;ruxolitinib;ruxolitinib phosphate;EMEA/H/C/005843;no;Authorised;D11AH;no;no;no;no;no;no;no;19-04-2023;;Incyte Biosciences Distribution B.V.;Other dermatological preparations;;23-02-2023;19-10-2023;2;Opzelura is indicated for the treatment of non-segmental vitiligo with facial involvement in adults and adolescents from 12 years of age.;;;22-02-2023;4-12-2023;https://www.ema.europa.eu/en/medicines/human/EPAR/opzelura
Human;Ziextenzo;Neutropenia;pegfilgrastim;pegfilgrastim;EMEA/H/C/004802;no;Authorised;L03AA13;no;no;yes;no;no;no;no;22-11-2018;;Sandoz GmbH;Immunostimulants, ;;20-09-2018;30-11-2023;9;Reduction in the duration of neutropenia and the incidence of febrile neutropenia in adult patients treated with cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes).;;;21-09-2018;4-12-2023;https://www.ema.europa.eu/en/medicines/human/EPAR/ziextenzo
Human;Qutenza;Neuralgia;capsaicin;capsaicin;EMEA/H/C/000909;no;Authorised;N01BX04;no;no;no;no;no;no;no;15-05-2009;;Grunenthal GmbH;Anesthetics;;19-03-2009;1-12-2023;19;Qutenza is indicated for the treatment of peripheral neuropathic pain in adults either alone or in combination with other medicinal products for pain.;;;24-08-2017;4-12-2023;https://www.ema.europa.eu/en/medicines/human/EPAR/qutenza
Human;Levitra;Erectile Dysfunction;vardenafil;vardenafil;EMEA/H/C/000475;no;Authorised;G04BE09;no;no;no;no;no;no;no;6-03-2003;;Bayer AG ;Urologicals;;;30-11-2023;33;Treatment of erectile dysfunction in adult men.Erectile dysfunction is the inability to achieve or maintain a penile erection sufficient for satisfactory sexual performance.In order for Levitra to be effective, sexual stimulation is required.Levitra is not indicated for use by women.;;;19-04-2018;4-12-2023;https://www.ema.europa.eu/en/medicines/human/EPAR/levitra
Human;Rilutek;Amyotrophic Lateral Sclerosis;riluzole;Riluzole;EMEA/H/C/000109;no;Authorised;N07XX02;no;no;no;no;no;no;no;10-06-1996;;Sanofi Winthrop Industrie;Other nervous system drugs;;14-02-1996;15-11-2023;32;Rilutek is indicated to extend life or the time to mechanical ventilation for patients with amyotrophic lateral sclerosis (ALS).Clinical trials have demonstrated that Rilutek extends survival for patients with ALS.Survival was defined as patients who were alive, not intubated for mechanical ventilation and tracheotomy-free.There is no evidence that Rilutek exerts a therapeutic effect on motor function, lung function, fasciculations, muscle strength and motor symptoms.Rilutek has not been shown to be effective in the late stages of ALS.Safety and efficacy of Rilutek has only been studied in ALS. Therefore, Rilutek should not be used in patients with any other form of motor-neurone disease.;;;13-11-2017;4-12-2023;https://www.ema.europa.eu/en/medicines/human/EPAR/rilutek
Human;Clopidogrel Krka;"Peripheral Vascular Diseases;  Stroke;  Myocardial Infarction";clopidogrel;clopidogrel (as hydrochloride);EMEA/H/C/001056;no;Authorised;B01AC04;no;yes;no;no;no;no;no;23-09-2009;;Krka, d.d., Novo mesto;Antithrombotic agents;;25-06-2009;1-12-2023;19;Clopidogrel is indicated in adults for the prevention of atherothrombotic events in:Patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.;;;17-04-2018;4-12-2023;https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-krka
